iter	Passed	Remaining
424	1913	2589
425	1917	2583
426	1921	2578
427	1924	2572
428	1928	2567
429	1932	2561
430	1936	2557
431	1940	2551
432	1944	2545
433	1948	2541
434	1952	2535
435	1955	2529
436	1958	2523
437	1962	2517
438	1965	2511
439	1970	2508
440	1975	2503
441	1978	2497
442	1982	2492
443	1985	2486
444	1989	2480
445	1995	2478
446	1998	2472
447	2002	2467
448	2006	2462
449	2009	2456
450	2013	2451
451	2017	2445
452	2021	2440
453	2024	2434
454	2028	2429
455	2032	2424
456	2037	2421
457	2044	2419
458	2047	2413
459	2051	2408
460	2055	2403
461	2059	2397
462	2064	2393
463	2067	2388
464	2071	2382
465	2077	2380
466	2085	2380
467	2089	2374
468	2092	2369
469	2096	2364
470	2101	2359
471	2104	2354
472	2108	2348
473	2111	2343
474	2115	2338
475	2119	2332
476	2122	2327
477	2126	2321
478	2130	2317
479	2133	2311
480	2136	2305
481	2140	2300
482	2143	2294
483	2147	2289
484	2150	2283
485	2153	2277
486	2157	2272
487	2161	2268
488	2164	2262
489	2168	2256
490	2171	2251
491	2175	2245
492	2178	2240
493	2182	2235
494	2186	2230
495	2190	2225
496	2193	2220
497	2197	2215
498	2200	2209
499	2204	2204
500	2208	2199
501	2212	2194
502	2215	2189
503	2219	2184
504	2223	2179
505	2230	2177
506	2239	2177
507	2246	2175
508	2252	2172
509	2255	2167
510	2261	2164
511	2266	2160
512	2271	2155
513	2276	2152
514	2283	2150
515	2286	2145
516	2292	2141
517	2297	2137
518	2302	2133
519	2306	2129
520	2310	2124
521	2314	2119
522	2318	2114
523	2321	2109
524	2325	2103
525	2328	2098
526	2332	2093
527	2336	2088
528	2339	2083
529	2342	2077
530	2346	2072
531	2351	2068
532	2354	2063
533	2358	2057
534	2361	2052
535	2366	2048
536	2370	2043
537	2373	2038
538	2377	2033
539	2380	2027
540	2384	2022
541	2388	2017
542	2392	2013
543	2395	2008
544	2399	2003
545	2403	1998
546	2406	1993
547	2410	1988
548	2414	1983
549	2417	1978
550	2421	1973
551	2425	1968
552	2428	1962
553	2432	1958
554	2436	1953
555	2439	1948
556	2443	1943
557	2447	1938
558	2451	1933
559	2455	1929
560	2458	1923
561	2461	1918
562	2465	1913
563	2469	1908
564	2473	1904
565	2477	1899
566	2480	1894
567	2484	1889
568	2487	1884
569	2493	1881
570	2503	1880
571	2511	1879
572	2520	1878
573	2525	1874
574	2528	1869
575	2532	1864
576	2535	1859
577	2540	1854
578	2544	1849
579	2548	1845
580	2551	1840
581	2555	1835
582	2559	1831
583	2563	1826
584	2567	1821
585	2570	1816
586	2574	1811
587	2577	1806
588	2581	1801
589	2585	1796
590	2589	1791
591	2592	1786
592	2596	1782
593	2600	1777
594	2604	1772
595	2608	1768
596	2612	1763
597	2615	1758
598	2619	1753
599	2623	1748
600	2627	1744
601	2630	1739
602	2634	1734
603	2638	1729
604	2641	1724
605	2645	1719
606	2649	1715
607	2652	1710
608	2656	1705
609	2660	1700
610	2664	1696
611	2667	1691
612	2671	1686
613	2675	1681
614	2678	1677
615	2682	1672
616	2686	1667
617	2690	1662
618	2694	1658
619	2697	1653
620	2701	1648
621	2705	1644
622	2709	1639
623	2712	1634
624	2717	1630
625	2720	1625
626	2724	1620
627	2728	1616
628	2731	1611
629	2735	1606
630	2739	1602
631	2743	1597
632	2746	1592
633	2750	1587
634	2754	1583
635	2758	1578
636	2762	1573
637	2765	1569
638	2769	1564
639	2773	1559
640	2776	1555
641	2781	1550
642	2784	1546
643	2788	1541
644	2792	1536
645	2800	1534
646	2803	1529
647	2807	1525
648	2811	1520
649	2814	1515
650	2818	1510
651	2822	1506
652	2825	1501
653	2829	1496
654	2833	1492
655	2837	1487
656	2841	1483
657	2844	1478
658	2848	1473
659	2851	1469
660	2855	1464
661	2859	1459
662	2863	1455
663	2867	1450
664	2870	1446
665	2874	1441
666	2878	1436
667	2882	1432
668	2887	1428
669	2892	1424
670	2895	1419
671	2899	1415
672	2903	1410
673	2906	1405
674	2910	1401
675	2914	1396
676	2917	1392
677	2921	1387
678	2924	1382
679	2928	1377
680	2933	1374
681	2937	1369
682	2940	1364
683	2944	1360
684	2948	1355
685	2953	1351
686	2956	1347
687	2960	1342
688	2963	1337
689	2966	1332
690	2970	1328
691	2973	1323
692	2976	1318
693	2980	1314
694	2983	1309
695	2986	1304
696	2989	1299
697	2995	1296
698	3002	1292
699	3006	1288
700	3009	1283
701	3013	1279
702	3017	1274
703	3021	1270
704	3024	1265
705	3028	1261
706	3032	1256
707	3036	1252
708	3039	1247
709	3043	1243
710	3047	1238
711	3051	1234
712	3054	1229
713	3058	1225
714	3061	1220
715	3065	1215
716	3069	1211
717	3073	1207
718	3076	1202
719	3080	1197
720	3083	1193
721	3087	1188
722	3091	1184
723	3095	1180
724	3099	1175
725	3103	1171
726	3107	1166
727	3111	1162
728	3115	1158
729	3119	1153
730	3123	1149
731	3128	1145
732	3134	1141
733	3144	1139
734	3150	1135
735	3159	1133
736	3168	1130
737	3173	1126
738	3185	1125
739	3193	1121
740	3201	1118
741	3210	1116
742	3219	1113
743	3222	1108
744	3226	1104
745	3229	1099
746	3233	1095
747	3237	1090
748	3241	1086
749	3245	1081
750	3248	1077
751	3252	1072
752	3256	1068
753	3260	1063
754	3264	1059
755	3267	1054
756	3271	1050
757	3275	1045
758	3278	1041
759	3282	1036
760	3285	1031
761	3289	1027
762	3294	1023
763	3297	1018
764	3301	1014
765	3305	1009
766	3309	1005
767	3312	1000
768	3316	996
769	3320	991
770	3324	987
771	3328	983
772	3332	978
773	3335	974
774	3340	969
775	3344	965
776	3348	960
777	3351	956
778	3355	951
779	3359	947
780	3363	943
781	3366	938
782	3370	934
783	3374	929
784	3377	925
785	3381	920
786	3385	916
787	3389	911
788	3392	907
789	3396	902
790	3400	898
791	3403	893
792	3407	889
793	3411	884
794	3414	880
795	3418	876
796	3422	871
797	3426	867
798	3429	862
799	3433	858
800	3437	853
801	3441	849
802	3444	845
803	3448	840
804	3452	836
805	3456	831
806	3459	827
807	3463	823
808	3467	818
809	3471	814
810	3474	809
811	3478	805
812	3482	800
813	3485	796
814	3491	792
815	3494	787
816	3498	783
817	3502	779
818	3505	774
819	3509	770
820	3513	766
821	3516	761
822	3520	757
823	3524	752
824	3530	748
825	3539	745
826	3552	743
827	3559	739
828	3566	735
829	3572	731
830	3580	728
831	3584	723
832	3587	719
833	3591	714
834	3595	710
835	3600	706
836	3603	701
837	3607	697
838	3611	692
839	3614	688
840	3618	684
841	3622	679
842	3626	675
843	3631	671
844	3635	666
845	3639	662
846	3643	658
847	3646	653
848	3650	649
849	3653	644
850	3657	640
851	3661	636
852	3665	631
853	3668	627
854	3672	622
855	3678	618
856	3682	614
857	3687	610
858	3690	605
859	3693	601
860	3697	596
861	3700	592
862	3704	588
863	3707	583
864	3710	579
865	3715	574
866	3719	570
867	3722	566
868	3726	561
869	3729	557
870	3733	552
871	3736	548
872	3739	544
873	3743	539
874	3746	535
875	3750	530
876	3753	526
877	3756	522
878	3760	517
879	3764	513
880	3768	508
881	3771	504
882	3778	500
883	3781	496
884	3785	491
885	3791	487
886	3798	483
887	3807	480
888	3818	476
889	3825	472
